#####################################################################################,,,,,,
# Ribosomal Protein Mass Fractions in E. coli,,,,,,
# =================================================,,,,,,
# Collated measurements of the ribosomal protein proteome mass fraction in E. coli,,,,,,
# and the corresponding steady-state growth rate. Growth rates are  provided in ,,,,,,
"# inverse hours. The ""notes"" column provides details regarding where ",,,,,,
# the data came from in each source entry. ,,,,,,
#####################################################################################,,,,,,
growth_rate_hr,mass_fraction,source,method,notes,medium,rp_ratio
0.253731343283582,0.0742243119266056,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.162844036697248
0.291044776119403,0.0731788990825687,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.160550458715596
0.328358208955224,0.0784059633027522,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.172018348623853
0.365671641791045,0.0867692660550458,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.190366972477064
0.395522388059701,0.0836330275229357,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.18348623853211
0.440298507462687,0.0867692660550458,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.190366972477064
0.455223880597015,0.0878146788990828,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.192660550458716
0.552238805970149,0.102450458715596,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.224770642201834
0.574626865671642,0.103495871559633,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.227064220183486
0.619402985074627,0.0993142201834864,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.217889908256881
0.619402985074627,0.0961779816513763,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.211009174311927
0.716417910447761,0.112904587155963,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.247706422018348
0.798507462686567,0.128585779816514,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.28211009174312
0.791044776119403,0.131722018348624,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.288990825688074
0.902985074626866,0.137994495412844,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.302752293577982
0.925373134328358,0.137994495412844,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.302752293577982
0.91044776119403,0.124404128440367,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.272935779816514
0.985074626865672,0.137994495412844,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.302752293577982
1.04477611940298,0.141130733944954,"Mori et al., 2017",Measurement of RNA to Protein Ratio converted to mass fraction using a conversion factor,Data digitized from Fig S2A.,MIN/AA,0.309633027522936
2.45227606461087,,"Mori et al., 2017",,digitized additionally,LB,0.660902255639098
0.44,0.077486,"You et al., 2013",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S10,MIN,0.17
0.41,0.077486,"You et al., 2013",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S10,MIN,0.17
0.62,0.104834,"You et al., 2013",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S10,MIN,0.23
0.64,0.104834,"You et al., 2013",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S10,MIN,0.23
0.87,0.127624,"You et al., 2013",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S10,MIN,0.28
1,0.1381298,"You et al., 2013",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S10,MIN,0.31
1.84,0.211967781155015,"Basan et al., 2015",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S4,MIN,0.465045592705167
1.27,0.165353312302839,"Basan et al., 2015",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S4,MIN,0.362776025236593
0.98,0.134002462462462,"Basan et al., 2015",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S4,MIN,0.293993993993994
0.7,0.107080901408451,"Basan et al., 2015",Measurement of RNA to Protein Ratio using their conversion factor,Data taken from Table S4,MIN,0.234929577464789
