"lambda","phi_Rb","name","source"
1.8285898231096,0.215264555654133,"Chure & Cremer 2023","Zhu & Dai, 2019"
2.0023,0.196499938,"Chure & Cremer 2023","Si et al., 2017"
1.9522,0.220101262,"Chure & Cremer 2023","Si et al., 2017"
0.75155,0.12657566,"Chure & Cremer 2023","Si et al., 2017"
1.0344,0.130741672,"Chure & Cremer 2023","Si et al., 2017"
0.56926,0.116620988,"Chure & Cremer 2023","Si et al., 2017"
0.75501,0.087891914,"Chure & Cremer 2023","Si et al., 2017"
1.8144,0.19959482,"Chure & Cremer 2023","Si et al., 2017"
1.8154,0.215329036,"Chure & Cremer 2023","Si et al., 2017"
1.4587,0.163422532,"Chure & Cremer 2023","Si et al., 2017"
1.2686,0.139570518,"Chure & Cremer 2023","Si et al., 2017"
0.88083,0.121876362,"Chure & Cremer 2023","Si et al., 2017"
0.65611,0.097582222,"Chure & Cremer 2023","Si et al., 2017"
0.59741,0.0900205,"Chure & Cremer 2023","Si et al., 2017"
2.1133,0.169749036,"Chure & Cremer 2023","Si et al., 2017"
1.8779,0.157004868,"Chure & Cremer 2023","Si et al., 2017"
1.4313,0.130012392,"Chure & Cremer 2023","Si et al., 2017"
1.2541,0.125609364,"Chure & Cremer 2023","Si et al., 2017"
1.0632,0.115372096,"Chure & Cremer 2023","Si et al., 2017"
0.75406,0.094596732,"Chure & Cremer 2023","Si et al., 2017"
0.78904,0.104045466,"Chure & Cremer 2023","Si et al., 2017"
1.8088,0.21452227,"Chure & Cremer 2023","Si et al., 2017"
1.5663,0.172319748,"Chure & Cremer 2023","Si et al., 2017"
1.1517,0.135240418,"Chure & Cremer 2023","Si et al., 2017"
1.1026,0.115162428,"Chure & Cremer 2023","Si et al., 2017"
0.62786,0.11590994,"Chure & Cremer 2023","Si et al., 2017"
1.7342,0.176276092,"Chure & Cremer 2023","Si et al., 2017"
1.1273,0.122195422,"Chure & Cremer 2023","Si et al., 2017"
0.83602,0.133244014,"Chure & Cremer 2023","Si et al., 2017"
0.70943,0.09574079,"Chure & Cremer 2023","Si et al., 2017"
0.39136,0.070092924,"Chure & Cremer 2023","Si et al., 2017"
1.7854,0.20287658,"Chure & Cremer 2023","Si et al., 2017"
1.0818,0.146890666,"Chure & Cremer 2023","Si et al., 2017"
0.83287,0.13117924,"Chure & Cremer 2023","Si et al., 2017"
0.73618,0.073215154,"Chure & Cremer 2023","Si et al., 2017"
0.69244,0.099428212,"Chure & Cremer 2023","Si et al., 2017"
0.31271,0.067472074,"Chure & Cremer 2023","Si et al., 2017"
1.7662,0.20606718,"Chure & Cremer 2023","Si et al., 2017"
1.0637,0.13029043,"Chure & Cremer 2023","Si et al., 2017"
0.80028,0.13022206,"Chure & Cremer 2023","Si et al., 2017"
0.82842,0.13101971,"Chure & Cremer 2023","Si et al., 2017"
0.70978,0.068556878,"Chure & Cremer 2023","Si et al., 2017"
0.66856,0.099268682,"Chure & Cremer 2023","Si et al., 2017"
0.4499,0.075421226,"Chure & Cremer 2023","Si et al., 2017"
1.6541,0.158445196,"Chure & Cremer 2023","Si et al., 2017"
1.4993,0.158832626,"Chure & Cremer 2023","Si et al., 2017"
0.72045,0.124556466,"Chure & Cremer 2023","Si et al., 2017"
1.0654,0.110545174,"Chure & Cremer 2023","Si et al., 2017"
0.82866,0.048232756,"Chure & Cremer 2023","Si et al., 2017"
0.75346,0.07668835,"Chure & Cremer 2023","Si et al., 2017"
0.41312,0.062567666,"Chure & Cremer 2023","Si et al., 2017"
1.7479,0.227895442,"Chure & Cremer 2023","Si et al., 2017"
1.4982,0.191394978,"Chure & Cremer 2023","Si et al., 2017"
1.3375,0.171704418,"Chure & Cremer 2023","Si et al., 2017"
1.0379,0.16821299,"Chure & Cremer 2023","Si et al., 2017"
0.79254,0.124629394,"Chure & Cremer 2023","Si et al., 2017"
0.75655,0.125089752,"Chure & Cremer 2023","Si et al., 2017"
0.34007,0.089122574,"Chure & Cremer 2023","Si et al., 2017"
1.1988,0.125180912,"Chure & Cremer 2023","Si et al., 2017"
1.1731,0.121680368,"Chure & Cremer 2023","Si et al., 2017"
1.2352,0.126110744,"Chure & Cremer 2023","Si et al., 2017"
1.7573,0.190323848,"Chure & Cremer 2023","Si et al., 2017"
1.7095,0.210401838,"Chure & Cremer 2023","Si et al., 2017"
1.9438,0.195916514,"Chure & Cremer 2023","Si et al., 2017"
1.7703,0.20495047,"Chure & Cremer 2023","Si et al., 2017"
1.7077,0.17258867,"Chure & Cremer 2023","Si et al., 2017"
